id périple,Nom périple,Pays,Ville départ,Ville arrivée,Kilomètres,Nombre jours min,Nombre jours max,Dénivelé,Terrain,Commentaire,Photo
1,Côte Est Irlande,Irlande,Dublin,Cork,376,4,5,5260,Gravel,"En reliant les deux plus grandes villes de la République d'Irlande, vous quitterez l’animée Dublin pour longer la côte est jusqu’à Cork. Sur votre route, découvrez les montagnes de Wicklow, surnommées le ""jardin de l’Irlande"", et émerveillez-vous devant les majestueuses Mahon Falls. Ce trajet vous offrira un mélange parfait de paysages naturels et d’escapades urbaines, pour une immersion complète dans l’atmosphère irlandaise.",estirlande.jpg
2,Côte Ouest Irlande,Irlande,Westport,Bantry,826,8,13,9020,Gravel,"De Westport à Bantry, longez la côte ouest de l’Irlande et laissez-vous séduire par sa beauté sauvage. Admirez les spectaculaires falaises de Moher, traversez la péninsule de Dingle avec ses paysages enchanteurs, et explorez le célèbre Ring of Kerry, entre montagnes et lacs scintillants. Chaque étape vous plongera dans l’atmosphère authentique de l’Irlande, des villages pittoresques aux panoramas époustouflants. Terminez votre périple à Bantry, au cœur d’une baie magnifique, pour un voyage inoubliable au cœur de la nature irlandaise.",ouestirlande.png
3,Route des grandes alpes gravel,France,Thonon-les-Bains,Nice,1031,10,14,32280,Gravel Engagé,"La Route des Grandes Alpes est l’aventure ultime pour tous les cyclistes passionnés. Si elle est célèbre en version route, découvrez maintenant sa version gravel, encore plus exigeante et incroyablement sauvage. Cette traversée XXL des Alpes vous promet des défis intenses et des panoramas à couper le souffle. Une expérience unique pour tester vos limites, mais choisissez ce voyage avec discernement : il ne pardonne pas les excès de confiance.",routegrandesalpes.jpg
4,Causses du quercy,France,Meyronne,Meyronne,293,3,5,4160,Gravel,"En empruntant une partie du chemin de Compostelle, traversez certains des plus beaux villages de France nichés au cœur des Causses du Quercy. Admirez des paysages d'exception tout en savourant une gastronomie locale inscrite au patrimoine français. Ce séjour, idéal pour débuter le bikepacking, offre des étapes accessibles tant physiquement que techniquement, combinant aventure, culture et plaisir des sens.",lot2.jpg
5,Annecy Mont-Blanc,France,Annecy,Annecy,254,4,6,7520,Gravel Engagé,"Ce voyage est taillé pour les passionnés du Mont-Blanc. Aussi exigeant physiquement qu’époustouflant visuellement, vous gravirez des sommets abrupts et emprunterez des crêtes offrant des panoramas saisissants sur le toit de l’Europe. L’aventure débute et se conclut dans la magnifique ville d’Annecy, avec son lac cristallin et son charme unique. Une expérience inoubliable, réservée aux cyclistes aguerris en quête de défis et de beauté.",montblanc.png
6,Pays-Basques,France,Hendaye,Hendaye,313,5,5,5430,Gravel,"Au départ d’Hendaye, ce voyage est idéal pour les cyclistes amateurs souhaitant relever un défi sportif. Les premières étapes, exigeantes, vous mèneront à travers les montagnes avec un dénivelé marqué et des chemins escarpés. Le retour, plus doux, s’effectue de Pampelune à San Sebastián en suivant une ancienne voie ferrée réhabilitée. Un itinéraire équilibré entre effort, découverte et plaisir, parfait pour une première grande aventure à vélo.",basque.png
7,Costa Brava,Espagne,Argeles-sur-mer,Argeles-sur-mer,356,3,6,4810,Gravel,"Au départ d’Argelès, cette boucle se déroulera presque entièrement en Espagne. Découvrez d’abord Figueres, la ville de Salvador Dalí, puis faites une halte à Gérone, capitale européenne du vélo. Poursuivez vers le bord de mer et longez la splendide Costa Brava avant de remonter en France. Un itinéraire mêlant art, culture et paysages méditerranéens pour une expérience inoubliable.",CostaBrava.jpg
8,Colombie Britanique,Canada,Calgary,Vancouver,1872,19,19,21690,Gravel,"Partez pour une aventure exceptionnelle à travers les majestueuses Rocheuses canadiennes. De Calgary à Vancouver, parcourez près de 2000 km au cœur de vastes étendues sauvages. Suivez les traces des trappeurs d’antan, traversez les paysages grandioses de l'Alberta et de la Colombie-Britannique, et découvrez quelques grandes villes emblématiques de la région. Entre nature spectaculaire, panoramas variés et immersion dans la culture nord-américaine, ce voyage promet d’être inoubliable.",colombibritanique.png
9,Vosges et montagnes noires,France,Strasbourg,Strasbourg,417,5,5,5250,Route,"Vous partirez de Strasbourg pour une boucle à vélo en direction du sud, longeant la frontière allemande et les montagnes de la Forêt-Noire. Une halte dans la très jolie ville de Freiburg im Breisgau sera incontournable pour profiter de son charme unique. Vous remonterez ensuite côté français en passant par le Grand Ballon et la célèbre route des Crêtes des Vosges, offrant des paysages spectaculaires et une expérience mémorable sur la route.",Routedescrêtesvisuel.jpg
10,Tour de l'Arièges,France,Foix,Foix,321,3,5,6880,Route,"Ce voyage à vélo sur les routes ariégeoises est idéal pour les cyclistes non initiés à l'escalade des grands cols. Vous gravirez le Port de Pailhères, un col emblématique du Tour de France culminant à 2000 mètres, ainsi que d'autres ascensions renommées comme le Port de Lers. Accessible et stimulant, ce parcours offre un défi physique abordable pour les amateurs de cyclisme sur route, tout en permettant de profiter des paysages majestueux de l’Ariège.",pailheres.jpg
11,Boucle Briançon et Sestrière,France,Briançon,Briançon,208,4,4,7380,Gravel Engagé,"Ce voyage au départ et à l'arrivée de Briançon vous plongera au cœur de somptueux paysages alpins. Dès les premiers kilomètres, vous grimperez à plus de 2000 mètres pour emprunter des sentiers dans un décor lunaire ponctué de lacs cristallins. Côté italien, vous parcourrez la Strada dell’Assietta, une ancienne route militaire sinueuse culminant à plus de 2000 mètres, ainsi que le légendaire Colle delle Finestre. Ce périple, court mais exigeant, séduira les amateurs de offroad par la beauté de ses panoramas et le défi physique qu’il propose.",routadellassietta2.jpg
12,Route du sel,France,Nice,Nice,332,6,6,9400,Gravel Engagé,"Au départ de Nice, cette boucle vous emmènera rapidement à plus de 2000 mètres d'altitude pour parcourir l'historique route du Sel, nichée entre la France et l'Italie. Ce voyage, réservé aux cyclistes offroad expérimentés, se distingue par sa difficulté physique et son intensité. Malgré sa courte durée, il offre un défi mémorable, vous plongeant dans l'immensité majestueuse de cette région montagneuse.",routedusel.jpg
13,Tours des fjords,Norvège,Bergen,Sogndal,658,10,10,27450,Gravel,"Cette aventure au départ de Bergen vous fera serpenter entre fjords majestueux et glaciers imposants, entre mer scintillante et sommets grandioses, dans les paysages exceptionnels de la Norvège. Principalement sur route, avec quelques portions gravel exigeant une attention particulière, ce trajet promet une immersion totale dans la nature nordique. Vous terminerez à Sogndal, où vous pourrez embarquer sur un ferry pour parcourir les fjords et regagner Bergen, le cœur rempli de souvenirs et les yeux brillants d'étoiles.",norvegefjord.jpg